student_id,guardian_id,is_primary
1,1,t
1,2,f
2,3,t
3,4,t
3,5,f
4,6,t
4,7,f
5,8,t
5,9,f
6,10,t
6,11,f
7,12,t
8,13,t
9,14,t
9,15,f
10,16,t
10,17,f
11,18,t
11,19,f
12,20,t
13,21,t
13,22,f
14,23,t
14,24,f
15,25,t
15,26,f
16,27,t
17,28,t
17,29,f
18,30,t
18,31,f
19,32,t
19,33,f
20,34,t
21,35,t
21,36,f
22,37,t
23,38,t
23,39,f
24,40,t
24,41,f
25,42,t
25,43,f
26,44,t
26,45,f
27,46,t
27,47,f
28,48,t
28,49,f
29,50,t
29,51,f
30,52,t
31,53,t
32,54,t
32,55,f
33,56,t
33,57,f
34,58,t
34,59,f
35,60,t
36,61,t
36,62,f
37,63,t
37,64,f
38,65,t
38,66,f
39,67,t
39,68,f
40,69,t
41,70,t
42,71,t
43,72,t
43,73,f
44,74,t
45,75,t
45,76,f
46,77,t
46,78,f
47,79,t
48,80,t
49,81,t
50,82,t
51,83,t
51,84,f
52,85,t
53,86,t
53,87,f
54,88,t
54,89,f
55,90,t
56,91,t
56,92,f
57,93,t
57,94,f
58,95,t
59,96,t
60,97,t
60,98,f
61,99,t
61,100,f
62,101,t
62,102,f
63,103,t
63,104,f
64,105,t
64,106,f
65,107,t
65,108,f
66,109,t
66,110,f
67,111,t
67,112,f
68,113,t
68,114,f
69,115,t
69,116,f
70,117,t
70,118,f
71,119,t
72,120,t
73,121,t
74,122,t
74,123,f
75,124,t
75,125,f
76,126,t
77,127,t
77,128,f
78,129,t
78,130,f
79,131,t
79,132,f
80,133,t
81,134,t
82,135,t
83,136,t
83,137,f
84,138,t
84,139,f
85,140,t
85,141,f
86,142,t
86,143,f
87,144,t
87,145,f
88,146,t
88,147,f
89,148,t
89,149,f
90,150,t
90,151,f
91,152,t
92,153,t
93,154,t
94,155,t
94,156,f
95,157,t
96,158,t
96,159,f
97,160,t
98,161,t
98,162,f
99,163,t
100,164,t
100,165,f
101,166,t
101,167,f
102,168,t
102,169,f
103,170,t
103,171,f
